epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/kpt_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/pose6d_acc5px,metrics/pose6d_add_acc,metrics/pose6d_mean_proj,metrics/pose6d_mean_corner,metrics/pose6d_mean_add,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/kpt_loss,lr/pg0,lr/pg1,lr/pg2
25,1695.77,0.3163,0.1306,0.14344,0.00317,0.0311,1.63925,1,0.96626,0.99312,0.29205,1,0.96626,0.99312,0.99312,40,93.3333,5.68246,8.1254,0.01056,2.58313,0.28798,0.8806,0.04544,0,0.27247,0.0015248,0.0015248,0.0015248
26,1761.12,0.29712,0.12447,0.12243,0.00301,0.03202,1.69046,0.99831,1,0.995,0.27889,0.99831,1,0.995,0.995,50,96.6667,4.98773,6.76191,0.00712,2.63015,0.1583,1.13101,0.04705,0,0.19162,0.001505,0.001505,0.001505
27,1828.4,0.29129,0.12953,0.12975,0.00298,0.03613,1.73293,0.99155,1,0.995,0.30564,0.99155,1,0.995,0.995,36.6667,90,5.75297,8.12178,0.01,2.53572,0.19813,1.00199,0.0447,0,0.27554,0.0014852,0.0014852,0.0014852
28,1893.88,0.3028,0.12855,0.13009,0.00295,0.03158,1.82216,0.99953,1,0.995,0.30108,0.99953,1,0.995,0.995,43.3333,80,5.37573,7.54584,0.01069,2.54604,0.24232,0.94669,0.04457,0,0.23565,0.0014654,0.0014654,0.0014654
29,1959.56,0.30802,0.14542,0.12988,0.00308,0.03495,1.9157,0.97132,1,0.995,0.29215,0.97132,1,0.995,0.995,70,100,4.32587,6.54217,0.00673,2.53618,0.22571,1.1063,0.04422,0,0.18294,0.0014456,0.0014456,0.0014456
30,2026.56,0.28697,0.13477,0.12391,0.00286,0.03358,1.607,0.99837,1,0.995,0.3032,0.99837,1,0.995,0.995,53.3333,96.6667,5.31671,7.74867,0.00915,2.55314,0.1472,0.99643,0.04459,0,0.26443,0.0014258,0.0014258,0.0014258
31,2092.08,0.2934,0.1274,0.12323,0.00294,0.03211,1.34282,0.99834,1,0.995,0.28375,0.99834,1,0.995,0.995,36.6667,76.6667,5.64854,7.83587,0.01212,2.56799,0.25451,0.92643,0.04556,0,0.26459,0.001406,0.001406,0.001406
32,2157.79,0.28988,0.13031,0.13591,0.00281,0.04179,1.67987,0.99723,1,0.995,0.27659,0.99723,1,0.995,0.995,36.6667,93.3333,5.42313,7.73018,0.00829,2.59652,0.21859,1.15892,0.04555,0,0.25863,0.0013862,0.0013862,0.0013862
33,2223.98,0.28721,0.1293,0.12896,0.0028,0.03254,1.5601,0.96437,0.96667,0.99212,0.30891,0.96437,0.96667,0.99212,0.99212,66.6667,100,4.47439,6.43284,0.00733,2.54518,0.20065,0.99489,0.04475,0,0.17319,0.0013664,0.0013664,0.0013664
34,2290.15,0.27303,0.12522,0.11499,0.00264,0.02927,1.61587,0.93248,1,0.99212,0.28951,0.93248,1,0.99212,0.99212,50,90,4.6241,6.76396,0.00859,2.5646,0.1679,0.99951,0.04571,0,0.20063,0.0013466,0.0013466,0.0013466
35,2355.72,0.28453,0.12496,0.11519,0.00283,0.03295,1.36752,0.99829,1,0.995,0.29588,0.99829,1,0.995,0.995,60,86.6667,4.65493,6.37422,0.00799,2.56577,0.14298,1.07709,0.04513,0,0.1802,0.0013268,0.0013268,0.0013268
36,2421.24,0.27177,0.1223,0.1145,0.00262,0.03023,1.52744,0.96647,1,0.99306,0.26861,0.96647,1,0.99306,0.99306,43.3333,86.6667,5.57457,7.8796,0.01019,2.65109,0.14522,1.13741,0.04757,0,0.27102,0.001307,0.001307,0.001307
37,2486.14,0.27671,0.11814,0.11673,0.0027,0.03354,1.16736,0.99831,1,0.995,0.27312,0.99831,1,0.995,0.995,70,90,4.36715,6.17299,0.00955,2.58313,0.18846,1.00231,0.04627,0,0.16341,0.0012872,0.0012872,0.0012872
38,2551.92,0.26934,0.12085,0.12163,0.0026,0.04355,1.22867,0.99763,1,0.995,0.31118,0.99763,1,0.995,0.995,56.6667,96.6667,4.88614,6.92241,0.00682,2.53212,0.16438,1.15513,0.04438,0,0.19819,0.0012674,0.0012674,0.0012674
39,2617.74,0.26175,0.12505,0.12009,0.00248,0.03725,1.17453,1,0.99975,0.995,0.2712,1,0.99975,0.995,0.995,93.3333,100,3.27523,4.94217,0.00524,2.62579,0.15733,1.08549,0.04609,0,0.10591,0.0012476,0.0012476,0.0012476
40,2683.49,0.25216,0.12396,0.11673,0.00241,0.03119,1.40799,0.99827,1,0.995,0.30226,0.99827,1,0.995,0.995,63.3333,96.6667,4.63064,6.32063,0.00757,2.50897,0.16165,1.03156,0.04351,0,0.15692,0.0012278,0.0012278,0.0012278
41,2748.91,0.23761,0.11739,0.11206,0.00228,0.02792,1.32646,0.98963,1,0.995,0.29214,0.98963,1,0.995,0.995,83.3333,96.6667,3.67893,5.22133,0.00773,2.577,0.16745,0.96777,0.04527,0,0.11261,0.001208,0.001208,0.001208
42,2814.92,0.25128,0.11948,0.10511,0.00237,0.0307,1.67092,1,0.99236,0.995,0.28843,1,0.99236,0.995,0.995,63.3333,96.6667,4.40953,6.14234,0.00647,2.58523,0.17034,1.09529,0.04569,0,0.1573,0.0011882,0.0011882,0.0011882
43,2880.19,0.23298,0.12138,0.1017,0.00225,0.02778,1.25701,0.9997,1,0.995,0.27476,0.9997,1,0.995,0.995,90,100,3.6816,5.30257,0.00681,2.61234,0.1451,1.09681,0.04623,0,0.11471,0.0011684,0.0011684,0.0011684
44,2945.86,0.23326,0.12045,0.10614,0.00217,0.03095,1.17249,1,0.99898,0.995,0.3085,1,0.99898,0.995,0.995,86.6667,100,3.93679,5.67199,0.00554,2.53892,0.17368,1.01571,0.04486,0,0.13216,0.0011486,0.0011486,0.0011486
45,3011.93,0.23158,0.11324,0.10793,0.00225,0.02847,1.20805,0.99832,1,0.995,0.29136,0.99832,1,0.995,0.995,100,96.6667,3.4482,5.15045,0.00896,2.55987,0.1685,1.01642,0.04449,0,0.10836,0.0011288,0.0011288,0.0011288
46,3077.62,0.2383,0.12165,0.11147,0.00219,0.02932,1.14279,0.99893,1,0.995,0.28844,0.99893,1,0.995,0.995,93.3333,96.6667,3.50148,4.92241,0.00658,2.57481,0.18422,1.03107,0.0451,0,0.09994,0.001109,0.001109,0.001109
47,3143.42,0.21869,0.11702,0.10149,0.00214,0.02807,1.08199,0.9972,1,0.995,0.3043,0.9972,1,0.995,0.995,86.6667,100,3.47608,4.78849,0.00532,2.58769,0.16742,1.20446,0.04529,0,0.09297,0.0010892,0.0010892,0.0010892
48,3208.56,0.2281,0.11892,0.11148,0.00223,0.02582,1.16421,1,0.99827,0.995,0.29744,1,0.99827,0.995,0.995,96.6667,100,3.0117,4.50004,0.00452,2.58349,0.20814,1.04929,0.04607,0,0.08519,0.0010694,0.0010694,0.0010694
49,3275.89,0.22679,0.11501,0.10414,0.00218,0.03059,1.68803,0.99485,0.96667,0.99312,0.28792,0.99485,0.96667,0.99312,0.99312,80,100,3.96141,5.20179,0.00583,2.57441,0.1934,1.0558,0.0457,0,0.1113,0.0010496,0.0010496,0.0010496
50,3341.34,0.22191,0.10929,0.10772,0.00213,0.02728,1.21934,0.99805,1,0.995,0.28455,0.99805,1,0.995,0.995,90,100,3.56758,5.27547,0.00697,2.56673,0.16729,1.08865,0.04464,0,0.11944,0.0010298,0.0010298,0.0010298
51,3406.61,0.22861,0.11158,0.10415,0.00219,0.02938,1.29141,1,0.99849,0.995,0.29757,1,0.99849,0.995,0.995,90,100,2.91884,4.31502,0.00495,2.52358,0.13967,1.08363,0.04448,0,0.08612,0.00101,0.00101,0.00101
52,3472.35,0.22093,0.11132,0.10039,0.00205,0.03086,1.29516,0.96765,0.99728,0.99403,0.29116,0.96765,0.99728,0.99403,0.99403,100,100,2.73688,3.92436,0.00531,2.57886,0.12624,1.28503,0.04499,0,0.06785,0.0009902,0.0009902,0.0009902
53,3538.86,0.22091,0.11089,0.10246,0.00215,0.02951,1.12586,0.98451,1,0.995,0.29615,0.98451,1,0.995,0.995,93.3333,93.3333,3.14869,4.65935,0.00705,2.56948,0.14581,1.11263,0.04506,0,0.0951,0.0009704,0.0009704,0.0009704
54,3603.95,0.20445,0.10675,0.09302,0.00187,0.02492,0.98881,0.99777,1,0.995,0.29907,0.99777,1,0.995,0.995,83.3333,100,3.971,5.51501,0.00694,2.54117,0.15854,1.24002,0.04446,0,0.12598,0.0009506,0.0009506,0.0009506
55,3669.13,0.22589,0.11531,0.10524,0.00208,0.0317,1.27591,0.99879,1,0.995,0.2927,0.99879,1,0.995,0.995,100,100,2.8516,4.02306,0.00429,2.56621,0.14406,1.04351,0.04508,0,0.07173,0.0009308,0.0009308,0.0009308
56,3735.39,0.20592,0.10762,0.09369,0.00195,0.02442,1.20307,0.99819,1,0.995,0.29139,0.99819,1,0.995,0.995,100,100,2.53795,3.74394,0.00607,2.56964,0.15403,1.10031,0.04504,0,0.06102,0.000911,0.000911,0.000911
57,3802.38,0.20734,0.10992,0.09366,0.00189,0.02735,0.91162,0.99838,1,0.995,0.28928,0.99838,1,0.995,0.995,96.6667,100,2.94144,4.21961,0.00637,2.57215,0.1587,1.10704,0.045,0,0.08112,0.0008912,0.0008912,0.0008912
58,3868.43,0.19949,0.11006,0.09808,0.0019,0.02772,1.05194,0.99902,1,0.995,0.28808,0.99902,1,0.995,0.995,100,100,2.36583,3.67245,0.00405,2.56602,0.15961,1.06794,0.04513,0,0.05665,0.0008714,0.0008714,0.0008714
59,3935.13,0.18651,0.10826,0.09041,0.0018,0.02785,0.93493,0.9983,1,0.995,0.28825,0.9983,1,0.995,0.995,100,96.6667,2.50231,3.85068,0.00672,2.58351,0.1686,1.16158,0.04551,0,0.06431,0.0008516,0.0008516,0.0008516
60,4000.88,0.19209,0.10791,0.09265,0.00176,0.02478,0.83084,0.99724,1,0.995,0.28485,0.99724,1,0.995,0.995,100,100,2.83286,4.14658,0.00436,2.5712,0.15353,1.18645,0.04495,0,0.07176,0.0008318,0.0008318,0.0008318
61,4066.94,0.19939,0.11179,0.10195,0.00183,0.02575,1.00443,0.99559,1,0.995,0.2893,0.99559,1,0.995,0.995,96.6667,100,3.3055,4.44927,0.0052,2.57492,0.12891,1.28184,0.04518,0,0.08438,0.000812,0.000812,0.000812
62,4133.1,0.19326,0.12025,0.09027,0.00177,0.02782,1.20909,1,0.99557,0.995,0.29765,1,0.99557,0.995,0.995,100,100,2.14077,3.1776,0.00383,2.58972,0.13904,1.14562,0.04551,0,0.04124,0.0007922,0.0007922,0.0007922
63,4199.25,0.1793,0.10408,0.09056,0.00169,0.02852,1.26826,0.99655,1,0.995,0.28559,0.99655,1,0.995,0.995,96.6667,100,2.62017,3.84387,0.00451,2.5949,0.12088,1.15293,0.04603,0,0.0682,0.0007724,0.0007724,0.0007724
64,4264.62,0.18856,0.1063,0.10055,0.00175,0.02425,1.22103,0.99942,1,0.995,0.27585,0.99942,1,0.995,0.995,100,100,2.80392,3.8312,0.00435,2.59016,0.13898,1.16325,0.04578,0,0.06237,0.0007526,0.0007526,0.0007526
65,4330,0.17725,0.10575,0.08852,0.00169,0.02258,1.02954,0.99774,1,0.995,0.29553,0.99774,1,0.995,0.995,100,100,2.09848,3.08865,0.00361,2.55502,0.12863,1.11666,0.04512,0,0.03847,0.0007328,0.0007328,0.0007328
66,4395.49,0.18864,0.10862,0.09306,0.00177,0.02646,1.07554,0.99828,1,0.995,0.28685,0.99828,1,0.995,0.995,100,100,2.26578,3.32536,0.00343,2.5775,0.13952,1.14394,0.04551,0,0.04788,0.000713,0.000713,0.000713
67,4460.96,0.17398,0.10252,0.08428,0.00165,0.02274,0.65182,0.99829,1,0.995,0.29417,0.99829,1,0.995,0.995,100,100,2.45641,3.45248,0.00421,2.5638,0.14858,1.09138,0.04514,0,0.04959,0.0006932,0.0006932,0.0006932
68,4526.75,0.17463,0.10727,0.07638,0.00162,0.02331,0.84512,0.99826,1,0.995,0.28848,0.99826,1,0.995,0.995,100,100,2.25726,3.13683,0.00371,2.58563,0.1301,1.15235,0.04577,0,0.04516,0.0006734,0.0006734,0.0006734
69,4592.5,0.18302,0.10382,0.0871,0.00171,0.02387,0.95243,0.99826,1,0.995,0.2957,0.99826,1,0.995,0.995,100,100,2.54535,3.53709,0.00376,2.59941,0.14963,1.17069,0.04596,0,0.05304,0.0006536,0.0006536,0.0006536
70,4658.13,0.18249,0.10207,0.08373,0.00168,0.02265,0.83619,0.99741,1,0.995,0.30341,0.99741,1,0.995,0.995,100,100,2.56078,3.66232,0.00473,2.57101,0.15492,1.11515,0.04503,0,0.05902,0.0006338,0.0006338,0.0006338
71,4724.09,0.16627,0.10207,0.08025,0.00152,0.0291,0.7328,0.99831,1,0.995,0.27809,0.99831,1,0.995,0.995,100,100,2.0877,2.96909,0.00324,2.5895,0.1426,1.15784,0.04568,0,0.03844,0.000614,0.000614,0.000614
72,4789.36,0.1731,0.10481,0.08236,0.00152,0.02528,1.02641,0.99856,1,0.995,0.30809,0.99856,1,0.995,0.995,100,100,2.2239,3.13146,0.00417,2.54755,0.14439,1.15297,0.04472,0,0.04077,0.0005942,0.0005942,0.0005942
73,4855.48,0.16645,0.10337,0.07799,0.00159,0.02228,0.76701,0.99813,1,0.995,0.28384,0.99813,1,0.995,0.995,96.6667,100,2.88153,3.77547,0.00403,2.6066,0.24812,1.21702,0.04574,0,0.05725,0.0005744,0.0005744,0.0005744
74,4920.69,0.16587,0.10314,0.07672,0.00154,0.02414,0.76063,0.99833,1,0.995,0.28744,0.99833,1,0.995,0.995,100,100,1.97423,2.83162,0.00359,2.57255,0.18203,1.12927,0.04523,0,0.03346,0.0005546,0.0005546,0.0005546
75,4986.01,0.15682,0.09733,0.07388,0.00144,0.02537,0.63135,1,0.99682,0.995,0.2913,1,0.99682,0.995,0.995,100,100,2.2495,3.13623,0.00382,2.58364,0.17202,1.11673,0.04521,0,0.04579,0.0005348,0.0005348,0.0005348
76,5051.02,0.16694,0.10452,0.08205,0.00158,0.02647,1.18602,0.99802,1,0.995,0.28009,0.99802,1,0.995,0.995,100,100,1.98877,2.83712,0.00466,2.60103,0.19987,1.16576,0.0455,0,0.03466,0.000515,0.000515,0.000515
77,5117.11,0.15912,0.10273,0.08052,0.00147,0.02372,0.64183,0.99829,1,0.995,0.2964,0.99829,1,0.995,0.995,100,100,2.22044,3.06461,0.00354,2.5644,0.19846,1.17968,0.04501,0,0.0402,0.0004952,0.0004952,0.0004952
78,5182.71,0.16153,0.10082,0.07497,0.0015,0.0228,0.70988,0.99829,1,0.995,0.28128,0.99829,1,0.995,0.995,100,100,2.04922,2.86578,0.00376,2.58955,0.16554,1.15966,0.0457,0,0.03426,0.0004754,0.0004754,0.0004754
79,5248.05,0.15387,0.10004,0.08273,0.00142,0.02253,0.55888,0.99824,1,0.995,0.28673,0.99824,1,0.995,0.995,100,96.6667,1.85223,2.57567,0.0034,2.58423,0.17616,1.22435,0.04564,0,0.02909,0.0004556,0.0004556,0.0004556
80,5313.49,0.15322,0.10055,0.08184,0.00145,0.02275,0.69404,0.99838,1,0.995,0.28189,0.99838,1,0.995,0.995,100,100,1.73354,2.49637,0.00295,2.59992,0.17538,1.19024,0.04581,0,0.02915,0.0004358,0.0004358,0.0004358
81,5380.06,0.10154,0.08318,0.04604,0.00122,0.02044,0.06396,0.99842,1,0.995,0.28846,0.99842,1,0.995,0.995,100,100,1.61181,2.33791,0.00315,2.57908,0.17747,1.12761,0.0454,0,0.02331,0.000416,0.000416,0.000416
82,5445.08,0.09858,0.08256,0.05095,0.00121,0.02015,0.05459,0.99826,1,0.995,0.29493,0.99826,1,0.995,0.995,100,100,1.80585,2.5632,0.00284,2.57919,0.17841,1.1876,0.04545,0,0.02849,0.0003962,0.0003962,0.0003962
83,5509.94,0.10175,0.08228,0.04868,0.00125,0.01982,0.05619,0.99835,1,0.995,0.30036,0.99835,1,0.995,0.995,100,100,1.86345,2.51454,0.00301,2.57535,0.1701,1.20277,0.0453,0,0.02689,0.0003764,0.0003764,0.0003764
84,5574.63,0.09889,0.08181,0.04746,0.00117,0.02019,0.05071,0.99833,1,0.995,0.30006,0.99833,1,0.995,0.995,100,100,1.55589,2.29097,0.00278,2.57693,0.16243,1.19512,0.04539,0,0.02268,0.0003566,0.0003566,0.0003566
85,5640.68,0.09826,0.08199,0.04716,0.00119,0.02004,0.04385,1,0.99935,0.995,0.29881,1,0.99935,0.995,0.995,100,100,1.65551,2.31528,0.0026,2.5645,0.1623,1.12609,0.045,0,0.02311,0.0003368,0.0003368,0.0003368
86,5705.81,0.0949,0.08112,0.04582,0.00116,0.01982,0.0445,1,0.99546,0.995,0.31083,1,0.99546,0.995,0.995,100,100,1.47938,2.24375,0.00282,2.56061,0.16847,1.19278,0.04495,0,0.02189,0.000317,0.000317,0.000317
87,5772.06,0.09225,0.08093,0.04506,0.00112,0.01987,0.04479,0.99911,1,0.995,0.29799,0.99911,1,0.995,0.995,100,100,1.48295,2.16058,0.003,2.58036,0.16365,1.14399,0.0454,0,0.02118,0.0002972,0.0002972,0.0002972
88,5836.91,0.09453,0.08136,0.04727,0.00114,0.02,0.04267,0.99836,1,0.995,0.28887,0.99836,1,0.995,0.995,100,100,1.51492,2.1521,0.00237,2.58159,0.15979,1.21608,0.04557,0,0.02071,0.0002774,0.0002774,0.0002774
89,5901.65,0.09068,0.08126,0.04258,0.0011,0.01981,0.04043,0.99835,1,0.995,0.27597,0.99835,1,0.995,0.995,100,100,1.53502,2.1841,0.00255,2.58505,0.15758,1.25195,0.04555,0,0.02106,0.0002576,0.0002576,0.0002576
90,5966,0.08743,0.08091,0.04029,0.00103,0.01989,0.04188,0.99736,1,0.995,0.29666,0.99736,1,0.995,0.995,100,100,1.45777,2.07027,0.00194,2.57827,0.15454,1.20392,0.04552,0,0.01796,0.0002378,0.0002378,0.0002378
91,6030.17,0.08521,0.08064,0.038,0.001,0.01989,0.03764,0.99752,0.96667,0.99403,0.28209,0.99752,0.96667,0.99403,0.99403,100,100,1.51939,2.1625,0.00242,2.57631,0.14973,1.18447,0.04534,0,0.01924,0.000218,0.000218,0.000218
92,6095.13,0.08552,0.08014,0.04023,0.00101,0.02005,0.04147,0.99833,1,0.995,0.30001,0.99833,1,0.995,0.995,100,100,1.42867,2.15988,0.00262,2.58025,0.15776,1.20007,0.04534,0,0.01954,0.0001982,0.0001982,0.0001982
93,6159.46,0.08536,0.0802,0.04315,0.00099,0.0194,0.03841,0.99769,1,0.995,0.30083,0.99769,1,0.995,0.995,100,100,1.36477,2.02386,0.00198,2.58166,0.15526,1.21778,0.04544,0,0.01761,0.0001784,0.0001784,0.0001784
94,6224.15,0.08883,0.08023,0.03995,0.00104,0.01959,0.03533,0.99858,1,0.995,0.29926,0.99858,1,0.995,0.995,100,100,1.23036,1.89898,0.00191,2.58839,0.16058,1.1792,0.04566,0,0.0159,0.0001586,0.0001586,0.0001586
95,6289.5,0.09036,0.08007,0.03923,0.00108,0.01954,0.0324,0.99846,1,0.995,0.28078,0.99846,1,0.995,0.995,100,100,1.32463,1.96327,0.00159,2.5874,0.15667,1.20727,0.04568,0,0.01653,0.0001388,0.0001388,0.0001388
96,6354.76,0.08192,0.08032,0.03765,0.00096,0.01978,0.03166,0.99838,1,0.995,0.278,0.99838,1,0.995,0.995,100,100,1.28373,1.91391,0.002,2.58095,0.15634,1.24092,0.04543,0,0.01595,0.000119,0.000119,0.000119
97,6419.7,0.08323,0.08013,0.04124,0.00098,0.01969,0.03241,0.99992,1,0.995,0.29167,0.99992,1,0.995,0.995,100,100,1.39466,1.97837,0.00212,2.57634,0.15475,1.21782,0.04545,0,0.01625,9.92e-05,9.92e-05,9.92e-05
98,6485.09,0.08145,0.07981,0.03785,0.00095,0.01927,0.03118,0.99823,1,0.995,0.28729,0.99823,1,0.995,0.995,100,100,1.29957,1.9022,0.00186,2.58741,0.15315,1.21606,0.0455,0,0.01515,7.94e-05,7.94e-05,7.94e-05
99,6549.69,0.08019,0.07963,0.03656,0.00093,0.01961,0.03077,0.99826,1,0.995,0.29321,0.99826,1,0.995,0.995,100,100,1.28192,1.86687,0.00159,2.57767,0.15369,1.2222,0.04536,0,0.01475,5.96e-05,5.96e-05,5.96e-05
100,6614.24,0.07986,0.08016,0.03636,0.00093,0.01973,0.02978,0.99864,1,0.995,0.29823,0.99864,1,0.995,0.995,100,100,1.33903,1.90549,0.0018,2.57857,0.15565,1.22363,0.04541,0,0.01541,3.98e-05,3.98e-05,3.98e-05
