epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/kpt_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/kpt_loss,lr/pg0,lr/pg1,lr/pg2
27,1830.45,0.29129,0.12953,0.12975,0.00298,0.03613,1.73293,0.99155,1,0.995,0.30564,0.99155,1,0.995,0.995,2.53572,0.19813,1.00199,0.0447,0,0.27554,0.0014852,0.0014852,0.0014852
28,1896.82,0.3028,0.12855,0.13009,0.00295,0.03158,1.82216,0.99953,1,0.995,0.30108,0.99953,1,0.995,0.995,2.54604,0.24232,0.94669,0.04457,0,0.23565,0.0014654,0.0014654,0.0014654
29,1963.51,0.30802,0.14542,0.12988,0.00308,0.03495,1.9157,0.97132,1,0.995,0.29215,0.97132,1,0.995,0.995,2.53618,0.22571,1.1063,0.04422,0,0.18294,0.0014456,0.0014456,0.0014456
30,2029.77,0.28697,0.13477,0.12391,0.00286,0.03358,1.607,0.99837,1,0.995,0.3032,0.99837,1,0.995,0.995,2.55314,0.1472,0.99643,0.04459,0,0.26443,0.0014258,0.0014258,0.0014258
31,2095.9,0.2934,0.1274,0.12323,0.00294,0.03211,1.34282,0.99834,1,0.995,0.28375,0.99834,1,0.995,0.995,2.56799,0.25451,0.92643,0.04556,0,0.26459,0.001406,0.001406,0.001406
32,2162.1,0.28988,0.13031,0.13591,0.00281,0.04179,1.67987,0.99723,1,0.995,0.27659,0.99723,1,0.995,0.995,2.59652,0.21859,1.15892,0.04555,0,0.25863,0.0013862,0.0013862,0.0013862
33,2228.12,0.28721,0.1293,0.12896,0.0028,0.03254,1.5601,0.96437,0.96667,0.99212,0.30891,0.96437,0.96667,0.99212,0.99212,2.54518,0.20065,0.99489,0.04475,0,0.17319,0.0013664,0.0013664,0.0013664
34,2293.42,0.27303,0.12522,0.11499,0.00264,0.02927,1.61587,0.93248,1,0.99212,0.28951,0.93248,1,0.99212,0.99212,2.5646,0.1679,0.99951,0.04571,0,0.20063,0.0013466,0.0013466,0.0013466
35,2359.26,0.28453,0.12496,0.11519,0.00283,0.03295,1.36752,0.99829,1,0.995,0.29588,0.99829,1,0.995,0.995,2.56577,0.14298,1.07709,0.04513,0,0.1802,0.0013268,0.0013268,0.0013268
36,2424.91,0.27177,0.1223,0.1145,0.00262,0.03023,1.52744,0.96647,1,0.99306,0.26861,0.96647,1,0.99306,0.99306,2.65109,0.14522,1.13741,0.04757,0,0.27102,0.001307,0.001307,0.001307
37,2491.17,0.27671,0.11814,0.11673,0.0027,0.03354,1.16736,0.99831,1,0.995,0.27312,0.99831,1,0.995,0.995,2.58313,0.18846,1.00231,0.04627,0,0.16341,0.0012872,0.0012872,0.0012872
